row_id,drink,date_modified,id_drink,alcoholic,category,drink_thumb,glass,iba,video,ingredient_number,ingredient,measure
414,Port Wine Flip,9/6/15 16:37,11965,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vrprxu1441553844.jpg,Whiskey sour glass,NA,NA,2,Light cream,2 tsp
414,Port Wine Flip,9/6/15 16:37,11965,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vrprxu1441553844.jpg,Whiskey sour glass,NA,NA,3,Powdered sugar,1 tsp
414,Port Wine Flip,9/6/15 16:37,11965,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vrprxu1441553844.jpg,Whiskey sour glass,NA,NA,4,Egg,1 whole
414,Port Wine Flip,9/6/15 16:37,11965,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vrprxu1441553844.jpg,Whiskey sour glass,NA,NA,5,Nutmeg,"
"
415,Porto flip,9/2/17 12:25,17192,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/64x5j41504351518.jpg,Cocktail glass,Unforgettables,NA,1,Brandy,3 parts
415,Porto flip,9/2/17 12:25,17192,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/64x5j41504351518.jpg,Cocktail glass,Unforgettables,NA,2,Port,9 parts
415,Porto flip,9/2/17 12:25,17192,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/64x5j41504351518.jpg,Cocktail glass,Unforgettables,NA,3,Egg Yolk,2 parts
416,Pysch Vitamin Light,9/6/15 16:33,15092,Non alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xsqsxw1441553580.jpg,Collins Glass,NA,NA,1,Orange juice,1 part
416,Pysch Vitamin Light,9/6/15 16:33,15092,Non alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xsqsxw1441553580.jpg,Collins Glass,NA,NA,2,Apple juice,1 part
416,Pysch Vitamin Light,9/6/15 16:33,15092,Non alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xsqsxw1441553580.jpg,Collins Glass,NA,NA,3,Pineapple juice,1 part
